user_id,persona,geo_location
145,End-User,UAE
146,End-User,UAE
147,End-User,International
148,End-User,UAE
149,End-User,International
150,End-User,International
151,Luxury-Buyer,International
152,End-User,International
153,Investor,International
154,End-User,International
155,End-User,UAE
156,End-User,UAE
157,End-User,UAE
158,End-User,International
159,End-User,UAE
160,End-User,UAE
161,End-User,UAE
162,End-User,International
163,End-User,International
164,Luxury-Buyer,International
165,End-User,UAE
166,End-User,International
167,End-User,International
168,End-User,UAE
169,End-User,UAE
170,End-User,UAE
171,End-User,International
172,End-User,UAE
173,End-User,UAE
174,End-User,International
175,Investor,UAE
176,Investor,UAE
177,End-User,International
178,Investor,UAE
179,Investor,International
180,End-User,UAE
181,Investor,International
182,Investor,International
183,End-User,UAE
184,End-User,UAE
185,End-User,International
186,Investor,International
187,End-User,International
188,Luxury-Buyer,International
189,End-User,UAE
190,End-User,UAE
191,End-User,International
192,End-User,UAE
193,Investor,UAE
194,End-User,UAE
195,End-User,UAE
196,End-User,UAE
197,Investor,International
198,End-User,UAE
199,End-User,UAE
200,Investor,International
201,End-User,International
202,Investor,UAE
203,End-User,UAE
204,End-User,International
205,End-User,International
206,End-User,International
207,End-User,International
208,End-User,International
209,End-User,UAE
210,End-User,International
211,End-User,UAE
212,Investor,International
213,End-User,International
214,End-User,UAE
215,End-User,UAE
216,Luxury-Buyer,UAE
217,Luxury-Buyer,UAE
218,End-User,International
219,End-User,UAE
220,End-User,International
221,End-User,UAE
222,End-User,International
223,Luxury-Buyer,International
224,End-User,International
225,Luxury-Buyer,UAE
226,End-User,International
227,End-User,UAE
228,End-User,UAE
229,Investor,UAE
230,End-User,UAE
231,End-User,International
232,Investor,UAE
233,End-User,International
234,End-User,International
235,End-User,UAE
236,End-User,International
237,Investor,UAE
238,Luxury-Buyer,UAE
239,Investor,UAE
240,End-User,International
241,End-User,International
242,End-User,UAE
243,Investor,UAE
244,End-User,International
245,End-User,UAE
246,End-User,International
247,End-User,UAE
248,Luxury-Buyer,UAE
249,Luxury-Buyer,International
250,Investor,UAE
251,End-User,International
252,End-User,International
253,End-User,UAE
254,End-User,UAE
255,End-User,International
256,Luxury-Buyer,International
257,Luxury-Buyer,UAE
258,Investor,International
259,End-User,UAE
260,End-User,UAE
261,End-User,International
262,End-User,UAE
263,End-User,International
264,End-User,UAE
265,End-User,International
266,End-User,UAE
267,End-User,UAE
268,End-User,International
269,End-User,UAE
270,End-User,UAE
271,Investor,UAE
272,End-User,UAE
273,End-User,International
274,Luxury-Buyer,UAE
275,End-User,UAE
276,End-User,UAE
277,End-User,UAE
278,End-User,UAE
279,Investor,UAE
280,Luxury-Buyer,UAE
281,End-User,International
282,End-User,International
283,End-User,UAE
284,Investor,UAE
285,End-User,UAE
286,End-User,UAE
287,Investor,UAE
288,End-User,UAE
289,End-User,UAE
290,End-User,UAE
291,Luxury-Buyer,UAE
292,Investor,UAE
293,End-User,UAE
294,End-User,UAE
295,End-User,UAE
296,End-User,UAE
297,End-User,UAE
298,End-User,UAE
299,End-User,UAE
300,End-User,UAE
301,End-User,UAE
302,End-User,UAE
303,End-User,International
304,Luxury-Buyer,UAE
305,End-User,UAE
306,End-User,International
307,End-User,UAE
308,End-User,UAE
309,End-User,International
310,Luxury-Buyer,International
311,End-User,UAE
312,Investor,UAE
313,Investor,UAE
314,End-User,UAE
315,End-User,UAE
316,End-User,UAE
317,Investor,UAE
318,Investor,International
319,End-User,International
320,End-User,UAE
321,End-User,International
322,End-User,UAE
323,End-User,International
324,End-User,UAE
325,End-User,UAE
326,Investor,UAE
327,End-User,UAE
328,End-User,UAE
329,Luxury-Buyer,International
330,End-User,International
331,Investor,UAE
332,Investor,UAE
333,End-User,UAE
334,End-User,International
335,Investor,International
336,End-User,International
337,End-User,International
338,Investor,UAE
339,End-User,UAE
340,End-User,UAE
341,End-User,International
342,End-User,UAE
343,End-User,UAE
344,Investor,International
345,Luxury-Buyer,UAE
346,End-User,UAE
347,End-User,International
348,Investor,UAE
349,Investor,UAE
350,Investor,International
351,Investor,International
352,End-User,International
353,Luxury-Buyer,UAE
354,End-User,UAE
355,End-User,International
356,End-User,UAE
357,Investor,UAE
358,End-User,International
359,End-User,UAE
360,End-User,UAE
361,Luxury-Buyer,UAE
362,End-User,UAE
363,End-User,UAE
364,Luxury-Buyer,UAE
365,End-User,International
366,End-User,International
367,Luxury-Buyer,UAE
368,Investor,UAE
369,Luxury-Buyer,UAE
370,Investor,UAE
371,End-User,International
372,End-User,International
373,End-User,International
374,End-User,UAE
375,End-User,UAE
376,Luxury-Buyer,UAE
377,End-User,UAE
378,End-User,International
379,End-User,International
380,End-User,UAE
381,End-User,International
382,End-User,UAE
383,End-User,UAE
384,End-User,UAE
385,Investor,UAE
386,Investor,UAE
387,Investor,International
388,End-User,International
389,End-User,UAE
390,End-User,UAE
391,End-User,International
392,End-User,International
393,End-User,International
394,End-User,UAE
395,End-User,International
396,Luxury-Buyer,UAE
397,End-User,International
398,End-User,UAE
399,End-User,International
400,Luxury-Buyer,UAE
401,End-User,UAE
402,Investor,UAE
403,End-User,UAE
404,End-User,International
405,End-User,International
406,End-User,International
407,End-User,UAE
408,Luxury-Buyer,International
409,End-User,International
410,End-User,UAE
411,Investor,UAE
412,Investor,International
413,Investor,International
414,Investor,International
415,End-User,UAE
416,Investor,UAE
417,End-User,UAE
418,Investor,International
419,End-User,International
420,Investor,UAE
421,End-User,International
422,Investor,UAE
423,End-User,International
424,End-User,UAE
425,Investor,UAE
426,End-User,UAE
427,Investor,UAE
428,End-User,UAE
429,Investor,UAE
430,End-User,UAE
431,End-User,International
432,End-User,UAE
433,End-User,UAE
434,End-User,UAE
435,Investor,International
436,End-User,UAE
437,End-User,International
438,Investor,International
439,Investor,UAE
440,Investor,UAE
441,End-User,UAE
442,End-User,UAE
443,Investor,International
444,End-User,International
445,End-User,UAE
446,End-User,UAE
447,End-User,International
448,End-User,International
449,Luxury-Buyer,UAE
450,End-User,UAE
451,End-User,UAE
452,Investor,International
453,End-User,UAE
454,End-User,UAE
455,End-User,International
456,Investor,International
457,End-User,International
458,End-User,UAE
459,End-User,UAE
460,End-User,International
461,End-User,UAE
462,End-User,UAE
463,End-User,UAE
464,Investor,UAE
465,Investor,UAE
466,End-User,International
467,Investor,International
468,End-User,International
469,Investor,UAE
470,End-User,UAE
471,Investor,UAE
472,End-User,International
473,Investor,UAE
474,Luxury-Buyer,International
475,End-User,International
476,Investor,UAE
477,End-User,UAE
478,End-User,International
479,End-User,International
480,End-User,UAE
481,End-User,UAE
482,End-User,International
483,End-User,UAE
484,Investor,UAE
485,End-User,UAE
486,End-User,UAE
487,End-User,UAE
488,Investor,UAE
489,End-User,UAE
490,Luxury-Buyer,UAE
491,End-User,International
492,End-User,International
493,End-User,International
494,End-User,International
495,End-User,UAE
496,End-User,UAE
497,Luxury-Buyer,International
498,End-User,UAE
499,Investor,UAE
500,Investor,International
